time,value,timestamp,range,voltage,direction,sequence
28.1408269405365,10824410.0,2025-11-07 15:31:15.981080,2000000.0,50,#1,0
28.832942962646484,10824430.0,2025-11-07 15:31:16.673044,2000000.0,50,#1,0
29.500269889831543,10824430.0,2025-11-07 15:31:17.346330,2000000.0,50,#1,0
30.177284002304077,10824460.0,2025-11-07 15:31:18.013095,2000000.0,50,#1,0
30.86744499206543,10824420.0,2025-11-07 15:31:18.705942,2000000.0,50,#1,0
31.533776998519897,10824400.0,2025-11-07 15:31:19.407711,2000000.0,50,#1,0
32.26160287857056,10823940.0,2025-11-07 15:31:20.100435,2000000.0,50,#1,0
32.930302143096924,10823790.0,2025-11-07 15:31:20.770072,2000000.0,50,#1,0
33.600383043289185,10823940.0,2025-11-07 15:31:21.452547,2000000.0,50,#1,0
34.2834677696228,10824450.0,2025-11-07 15:31:22.120198,2000000.0,50,#1,0
34.95168709754944,10824450.0,2025-11-07 15:31:22.831402,2000000.0,50,#1,0
35.66227388381958,10824450.0,2025-11-07 15:31:23.498938,2000000.0,50,#1,0
36.33035206794739,10825570.0,2025-11-07 15:31:24.167293,2000000.0,50,#1,0
36.99819493293762,10825570.0,2025-11-07 15:31:24.783642,,50,#1,0
42.56378698348999,10826510.0,2025-11-07 15:31:30.403104,2000000.0,50,#1,0
43.23349475860596,10828480.0,2025-11-07 15:31:31.072190,2000000.0,50,#1,0
43.925621032714844,10828480.0,2025-11-07 15:31:31.765618,2000000.0,50,#1,0
44.59774589538574,10824370.0,2025-11-07 15:31:32.436665,2000000.0,50,#1,0
45.26916313171387,10824370.0,2025-11-07 15:31:33.103467,2000000.0,50,#1,0
45.95791506767273,10824370.0,2025-11-07 15:31:33.795190,2000000.0,50,#1,0
46.624335050582886,10824320.0,2025-11-07 15:31:34.498901,2000000.0,50,#1,0
47.35409998893738,10824320.0,2025-11-07 15:31:35.190886,2000000.0,50,#1,0
48.02323317527771,10824400.0,2025-11-07 15:31:35.861842,2000000.0,50,#1,0
48.70276594161987,10824440.0,2025-11-07 15:31:36.554423,2000000.0,50,#1,0
49.384166955947876,10824450.0,2025-11-07 15:31:37.223715,2000000.0,50,#1,0
50.063552141189575,10824450.0,2025-11-07 15:31:37.846767,,50,#1,0
55.62418794631958,10824460.0,2025-11-07 15:31:43.461626,2000000.0,50,#1,0
56.30275893211365,10824470.0,2025-11-07 15:31:44.146175,2000000.0,50,#1,0
56.99783682823181,10824460.0,2025-11-07 15:31:44.838945,2000000.0,50,#1,0
57.670677185058594,10823750.0,2025-11-07 15:31:45.508875,2000000.0,50,#1,0
58.33958697319031,10823750.0,2025-11-07 15:31:46.174867,2000000.0,50,#1,0
59.02948594093323,10824850.0,2025-11-07 15:31:46.865860,2000000.0,50,#1,0
59.69571304321289,10824910.0,2025-11-07 15:31:47.569452,2000000.0,50,#1,0
4.76837158203125e-06,10823930.0,2025-11-07 15:31:55.897444,2000000.0,50,#2,1
0.6676170825958252,10823930.0,2025-11-07 15:31:56.600694,2000000.0,50,#2,1
1.3967828750610352,10823930.0,2025-11-07 15:31:57.293196,2000000.0,50,#2,1
2.0648088455200195,10824240.0,2025-11-07 15:31:57.964025,2000000.0,50,#2,1
2.735975980758667,10824530.0,2025-11-07 15:31:58.630652,2000000.0,50,#2,1
3.4244308471679688,10824620.0,2025-11-07 15:31:59.323642,2000000.0,50,#2,1
4.094385862350464,10824620.0,2025-11-07 15:31:59.947486,,50,#2,1
9.667991876602173,10824590.0,2025-11-07 15:32:05.567578,2000000.0,50,#2,1
